date,Port,OperatorCountryofDomicileName,vessel_type,count
28/09/2023,SRG,"China, People's Republic Of",Cargo,1
18/10/2023,BDJ,"China, People's Republic Of",Cargo,1
05/07/2023,BLW,Indonesia,Cargo,3
15/12/2023,BIT,Indonesia,Cargo,3
20/01/2023,MOF,Indonesia,Passenger,1
31/10/2023,IBP,Indonesia,Passenger,71
30/05/2023,WSR,Indonesia,Passenger,1
06/04/2023,GRE,Indonesia,Cargo,11
06/03/2023,TJB,Indonesia,Cargo,1
28/06/2023,TLI,Indonesia,Passenger,2
05/12/2023,SUB,Indonesia,Tanker,4
22/04/2023,ING,Indonesia,Tanker,2
17/07/2023,TPR,Indonesia,Cargo,5
14/01/2023,BUR,Singapore,Passenger,17
13/09/2023,GRE,Switzerland,Cargo,1
08/09/2023,BDJ,Italy,Cargo,1
26/03/2023,IBP,Singapore,Tanker,2
07/01/2023,DUM,"Korea, South",Dredging,1
03/11/2023,ARE,Indonesia,Passenger,3
18/05/2023,ARE,Indonesia,Passenger,2
01/05/2023,BIT,Indonesia,Other,1
31/07/2023,SLG,Indonesia,Tanker,1
10/05/2023,KBH,Indonesia,Passenger,2
13/08/2023,GRE,Indonesia,Passenger,9
21/03/2023,MLD,"Korea, South",Cargo,1
23/03/2023,GRE,France,Cargo,1
05/04/2023,TJB,Maldives,Tanker,1
22/11/2023,TPR,"China, People's Republic Of",Cargo,1
09/04/2023,PTL,Indonesia,Passenger,1
28/04/2023,BPN,Indonesia,Other,2
16/04/2023,KUM,Indonesia,Passenger,5
19/10/2023,GRE,Indonesia,Cargo,9
06/01/2023,BDJ,Indonesia,Cargo,7
21/03/2023,SMQ,Indonesia,Tanker,2
13/04/2023,SUR,Indonesia,Tanker,1
20/06/2023,SMQ,Indonesia,Tanker,3
30/07/2023,SMA,Indonesia,Tanker,1
17/09/2023,SMA,Indonesia,Tanker,1
06/03/2023,IBP,Greece,Cargo,1
12/07/2023,TPR,Switzerland,Cargo,2
16/09/2023,BDJ,Indonesia,Cargo,5
28/12/2023,CBN,Indonesia,Cargo,1
06/04/2023,AMQ,Indonesia,Passenger,3
11/02/2023,PNK,Indonesia,Other,3
21/12/2023,DUM,Indonesia,Tanker,7
08/01/2023,LTU,Indonesia,Cargo,2
10/06/2023,GRE,Indonesia,Cargo,12
24/12/2023,BUR,Malaysia,Other,3
25/04/2023,GRE,Singapore,Tanker,1
25/04/2023,SUB,Singapore,Tanker,2
28/01/2023,IBP,Singapore,Other,2
11/01/2023,TJB,Singapore,Passenger,1
07/09/2023,BPN,Japan,Tanker,1
26/09/2023,KDI,Indonesia,Passenger,3
07/10/2023,WSR,Indonesia,Passenger,1
09/12/2023,GRE,Indonesia,Passenger,5
