date,Port,OperatorCountryofDomicileName,vessel_type,count
03/11/2023,ARE,Indonesia,Passenger,3
08/06/2023,TPR,Indonesia,Passenger,6
09/10/2023,BLW,Indonesia,Passenger,1
06/02/2023,SUB,Indonesia,Passenger,3
18/05/2023,ARE,Indonesia,Passenger,2
17/11/2023,ING,Indonesia,Cargo,1
15/12/2023,ING,Indonesia,Cargo,1
07/03/2023,TPR,"Korea, South",Cargo,1
31/10/2023,BUR,Singapore,Cargo,3
11/02/2023,BDJ,Indonesia,Passenger,4
03/09/2023,BDJ,Indonesia,Passenger,2
03/04/2023,TJB,Indonesia,Tanker,3
05/07/2023,BLW,Indonesia,Cargo,3
07/10/2023,BPN,Indonesia,Pleasure Craft,1
25/01/2023,GRE,"China, People's Republic Of",Cargo,2
18/09/2023,IBP,Indonesia,Passenger,82
24/09/2023,IBP,Indonesia,Passenger,83
27/01/2023,TEI,Indonesia,Passenger,8
24/02/2023,TEI,Indonesia,Passenger,9
21/02/2023,BPN,Indonesia,Cargo,2
05/07/2023,CBN,Indonesia,Cargo,1
22/10/2023,KUM,Indonesia,Tanker,1
22/06/2023,GRE,Indonesia,Cargo,20
25/02/2023,BUR,Malaysia,Other,1
15/11/2023,ING,Indonesia,Tanker,4
22/05/2023,TEI,Indonesia,Cargo,2
06/09/2023,TPR,Philippines,Cargo,1
27/08/2023,SRG,Chinese Taipei,Cargo,2
25/01/2023,DUM,Singapore,Tanker,1
01/03/2023,SRG,Switzerland,Cargo,1
20/04/2023,SRG,Switzerland,Cargo,1
02/01/2023,BPN,Indonesia,Passenger,30
09/11/2023,LUW,Indonesia,Passenger,1
11/12/2023,BMU,Indonesia,Passenger,1
30/03/2023,BPN,Indonesia,Pleasure Craft,1
16/01/2023,BDJ,Indonesia,Cargo,7
20/11/2023,BDJ,Indonesia,Cargo,7
11/11/2023,LMR,Indonesia,Passenger,13
24/08/2023,SOQ,Indonesia,Passenger,4
08/11/2023,IBP,Indonesia,Cargo,4
06/09/2023,PNJ,Germany,Cargo,8
27/12/2023,IBP,Japan,Cargo,1
12/07/2023,PKS,Indonesia,Tanker,1
12/01/2023,SRG,Indonesia,Tanker,4
25/09/2023,LMR,Indonesia,Passenger,9
29/05/2023,TPR,Indonesia,Cargo,8
06/11/2023,BUR,Indonesia,Other,3
15/03/2023,BUR,"Hong Kong, China",Tanker,2
01/08/2023,MAK,Liberia,Cargo,1
19/02/2023,BPN,Indonesia,Passenger,28
05/09/2023,NAM,Indonesia,Passenger,1
