,h3_index_int,mmsi,imo,length,width,vessel_type,vessel_type_main,obs_time,flag_country,source,destination,time_lower,time_upper,unix_trigger,avg_unix,unix_disarm,sd_lat,sd_lng,trigger_lat,trigger_lng,avg_lat,avg_lng,disarm_lat,disarm_lng,mode_nav_status,obs_nav_status,state_initial,state_final,obs_count,is_valid,geom_wkt,wkt_avg_pt,imo_ihs,ShipName,mmsi_ihs,RegisteredOwnerCountryOfRegistration,RegisteredOwnerCountryofDomicile,Tonnagesystem69convention,GrossTonnage,Deadweight,ShiptypeLevel5,shipSource,Hirarki_1,Prov_ID,Kode
18836,623341231095349247,525005016,9102760,99.0,18.0,Passenger,Passenger Ship,2023-01-08 03:05:38,Indonesia,S-AIS,LUWUK,1.65,0.05,1673147138,1673147228,1673147319,0.0,0.0,-0.95166667,122.79333333,-0.95166667,122.79333333,-0.95166667,122.79333333,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (122.79333333 -0.95166667, 122.79333333 -0.95166667,122.79333333 -0.95166667)",POINT (122.79333333 -0.95166667),9102760,TILONGKABILA,525005016.0,Indonesia,Indonesia,I,6022,1438,Passenger Ship,imo match,2,72,LUW
2235,623275795671089151,525401602,9983839,35.0,6.0,Passenger,,2023-01-08 03:10:21,Indonesia,T-AIS,,22.65,22.05,1673147421,1673168981,1673226831,6.983189695419698e-05,7.927279048988217e-05,0.98793333,103.43645,0.987983331,103.436403333,0.98796667,103.43645,Moored,10,2,2,10,valid,"LINESTRING (103.43645 0.98793333, 103.436403333 0.987983331,103.43645 0.98796667)",POINT (103.436403333 0.987983331),9983839,OCEANNA VIII,525401602.0,Indonesia,Indonesia,I,168,263,Passenger Ship,imo match,2,21,TJB
15245,623960940728418303,525010182,9656113,70.0,70.0,Passenger,Service Ship,2023-01-08 04:18:16,Indonesia,T-AIS,MIKE,19.183333333333334,17.55,1673151496,1673177446,1673214690,0.0016737098696548121,0.000578504422342434,-6.09645,106.95708333,-6.094413334,106.95669333200001,-6.0959,106.95725,Underway Sailing,5,2,2,5,valid,"LINESTRING (106.95708333 -6.09645, 106.95669333200001 -6.094413334,106.95725 -6.0959)",POINT (106.95669333200001 -6.094413334),9656113,PAN MARINE 12,525010182.0,Indonesia,Indonesia,I,203,0,Crew Boat,imo match,2,31,IMW
24631,623986895836381183,525100991,9044516,117.0,17.0,Passenger,,2023-01-08 04:28:22,Indonesia,T-AIS,SEMARANG,11.283333333333333,10.666666666666666,1673152102,1673170493,1673190522,1.2239322571360931e-05,3.407574412144955e-05,-6.94714333,110.42367667,-6.947133557115384,110.42367490365383,-6.947095,110.423465,Moored,51,2,2,52,valid,"LINESTRING (110.42367667 -6.94714333, 110.42367490365383 -6.947133557115384,110.423465 -6.947095)",POINT (110.42367490365383 -6.947133557115384),9044516,DHARMA RUCITRA 9,525100991.0,Indonesia,Indonesia,I,7262,2567,Vehicles Carrier,imo match,1,33,SRG
7318,624254507004887039,525101098,9833876,58.0,12.0,Passenger,,2023-01-08 04:29:01,Indonesia,S-AIS,MERAUKE,179.41666666666666,176.65,1673152141,1673443020,1673788109,2.5314168775085404e-05,5.7870389710014056e-05,-8.478225,140.38933,-8.47818441923077,140.38937373289593,-8.47819,140.389405,At Anchor,221,2,2,221,valid,"LINESTRING (140.38933 -8.478225, 140.38937373289593 -8.47818441923077,140.389405 -8.47819)",POINT (140.38937373289593 -8.47818441923077),9833876,SABUK NUSANTARA 114,525101098.0,Indonesia,Indonesia,I,1171,750,General Cargo/Passenger Ship,imo match,1,91,MKQ
13981,623276057217040383,525200211,9859492,0.0,0.0,Passenger,,2023-01-08 04:51:11,Indonesia,S-AIS,TPI BATAM RETURN,3.1666666666666665,2.566666666666667,1673153471,1673157952,1673162766,0.0003549690857496024,0.00045974278961945925,0.93166667,104.43833333,0.9317901207142858,104.4381323792857,0.930955,104.43658833,Under Way Using Engine,14,2,2,14,valid,"LINESTRING (104.43833333 0.93166667, 104.4381323792857 0.9317901207142858,104.43658833 0.930955)",POINT (104.4381323792857 0.9317901207142858),9859492,OCEAN DRAGON 6,525200211.0,Indonesia,Indonesia,I,152,0,Passenger Ship,imo match,2,21,TNJ
5920,623960961479966719,525200126,9835991,106.0,21.0,Passenger,,2023-01-08 05:03:23,Indonesia,S-AIS,MERAK,1.2,1.05,1673154203,1673156662,1673157982,0.0009622523731505833,0.00096225237315366,-5.93166667,105.995,-5.931111113333333,105.99444444333334,-5.93,105.99333333,Under Way Using Engine,3,2,2,3,valid,"LINESTRING (105.995 -5.93166667, 105.99444444333334 -5.931111113333333,105.99333333 -5.93)",POINT (105.99444444333334 -5.931111113333333),9835991,MUNIC 9,525200126.0,Indonesia,Indonesia,I,8274,2554,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
27702,624100708542021631,525101263,9910686,60.0,14.0,Passenger,,2023-01-08 05:43:55,Indonesia,S-AIS,"BOLOK,KUPANG",2.0,1.7666666666666666,1673156635,1673160856,1673163000,1.6362106628875038e-05,0.0003473685629529726,-10.21666667,123.51666667,-10.216657223333334,123.51686722333334,-10.21663833,123.51726833,Underway Sailing,3,2,2,3,valid,"LINESTRING (123.51666667 -10.21666667, 123.51686722333334 -10.216657223333334,123.51726833 -10.21663833)",POINT (123.51686722333334 -10.216657223333334),9910686,GARDA MARITIM 3,525101263.0,Indonesia,Indonesia,I,806,0,Passenger/Ro-Ro Ship (Vehicles),imo match,1,53,TQP
24691,623335841564622847,525019418,8873570,45.0,11.0,Passenger,Other,2023-01-08 05:50:42,Indonesia,T-AIS,KARIANGAU-PANAJAM,1.0,0.6666666666666666,1673157042,1673158055,1673159472,0.00041577286134784376,0.0016506993467366895,-1.20128333,116.81445333,-1.2008033333333334,116.81598499666666,-1.200555,116.81576833,Under Way Using Engine,3,2,2,3,valid,"LINESTRING (116.81445333 -1.20128333, 116.81598499666666 -1.2008033333333334,116.81576833 -1.200555)",POINT (116.81598499666666 -1.2008033333333334),8873570,PONCAN MOALE,525019418.0,Indonesia,Indonesia,I,621,0,Passenger Ship,imo match,1,64,BPN
19772,624120416511950847,525018438,8508694,103.0,15.0,Passenger,General Cargo Ship,2023-01-08 06:11:38,Indonesia,S-AIS,PAREPARE,26.8,0.0,1673158298,1673158298,1673158298,0.0,0.0,-4.01166667,119.61833333,-4.01166667,119.61833333,-4.01166667,119.61833333,Under Way Using Engine,1,2,2,1,invalid,POINT (119.61833333 -4.01166667),POINT (119.61833333 -4.01166667),8508694,ADITHYA,525018438.0,Indonesia,Indonesia,F,3778,1293,General Cargo/Passenger Ship,imo match,2,73,ARE
