,ShipName,mmsi,avg_lat,avg_lng,flag_country,vessel_type,mode_nav_status,obs_time,time_lower,time_upper,imo,RegisteredOwnerCountryofDomicile,RegisteredOwnerCountryOfRegistration
46068,VIET THUAN 80-03,636018805,1.2874361902857143,104.00246666685716,Liberia,Cargo,At Anchor,2023-04-01 10:19:52,7,6,9231377,Vietnam,Vietnam
46069,TANTO LANCAR,525013040,-0.016637056808510638,109.33396453898936,Indonesia,Cargo,Moored,2023-04-01 10:22:57,38,37,9786592,Indonesia,Indonesia
46070,HALIFAX EAGLE,538008696,3.2422963765217387,117.59841536304347,Marshall Islands,Cargo,At Anchor,2023-04-01 10:26:58,4,4,9855862,Marshall Islands,Marshall Islands
46071,SAO EBBA,538008189,1.2683758915492962,103.93918462478872,Marshall Islands,Cargo,At Anchor,2023-04-01 10:33:04,14,14,9822267,"China, People's Republic Of","China, People's Republic Of"
46072,GOLDEN EAGLE II,352898676,1.260998436893491,103.90588037517753,Panama,Tanker,At Anchor,2023-04-01 10:33:09,41,41,9325817,Panama,Panama
46073,W-ORIGINAL,636017531,1.2833390499509805,103.99365556921572,Liberia,Cargo,At Anchor,2023-04-01 10:33:49,12,12,9627758,Liberia,Liberia
46074,SLOMAN HEBE,305265000,3.786702473764705,98.69519562764702,Antigua and Barbuda,Tanker,Moored,2023-04-01 10:33:59,45,44,9809784,Germany,Germany
46075,HAFNIA SHANGHAI,248960000,1.2448801094011976,103.91186206838323,Malta,Tanker,At Anchor,2023-04-01 10:34:30,11,11,9830290,Singapore,Singapore
46076,KWK EXCELSUS,564151000,1.2778624854806315,103.92949421377331,Singapore,Tanker,At Anchor,2023-04-01 10:34:50,107,107,9728411,Singapore,Singapore
46077,YIANNIS LATSIS,241796000,1.29418461025974,104.0766700651948,Greece,Tanker,At Anchor,2023-04-01 10:35:05,15,15,9923487,Greece,Panama
46078,PULAU GALEN,538007798,-0.9974755930458221,100.37270051215634,Marshall Islands,Cargo,Moored,2023-04-01 10:36:27,75,74,9827164,Japan,Panama
46079,COSRISING LAKE,477850600,1.2944191886842107,104.08673642592105,Hong Kong,Tanker,At Anchor,2023-04-01 10:36:28,15,15,9735737,"Hong Kong, China","Hong Kong, China"
46080,KAREEM,525120006,3.236273910384616,117.60568596192307,Indonesia,Cargo,At Anchor,2023-04-01 10:40:48,5,5,9266097,Indonesia,Indonesia
46081,TANKER VICTORY,525023354,-1.2998857783116886,116.79733710090908,Indonesia,Tanker,At Anchor,2023-04-01 10:41:39,8,8,9112234,Indonesia,Indonesia
46082,KMARIN RESTRAINT,235108533,1.2544068630882355,103.90147029455883,UK,Tanker,At Anchor,2023-04-01 10:42:40,13,13,9683075,United Kingdom,Marshall Islands
46083,SAO KAREN,538008390,1.2663325659615385,103.96084945576922,Marshall Islands,Cargo,At Anchor,2023-04-01 10:44:33,3,3,9824071,"Korea, South",Marshall Islands
46084,YANG LI HU,413975000,1.2550933068253967,103.92261888920635,China,Tanker,At Anchor,2023-04-01 10:45:33,12,12,9417177,"China, People's Republic Of","China, People's Republic Of"
46085,SAVIR LION,538009238,1.2516821732142858,103.91102988125,Marshall Islands,Tanker,At Anchor,2023-04-01 10:46:45,12,11,9306639,Indonesia,Indonesia
46086,PERL,563711000,1.2898056407692309,103.98934576923077,Singapore,Tanker,Moored,2023-04-01 10:47:38,2,2,9503689,Singapore,Singapore
46087,STI SANCTITY,538006078,1.2592880618604652,103.91259306186048,Marshall Islands,Tanker,At Anchor,2023-04-01 10:48:23,9,9,9719707,Marshall Islands,Marshall Islands
46088,MIN HANG,352001541,1.2403983829341318,103.91349512820356,Panama,Tanker,At Anchor,2023-04-01 10:51:18,16,16,9257137,"Hong Kong, China","Hong Kong, China"
46089,SEA FALCON,371087000,1.2884293963793103,103.9606805460345,Panama,Cargo,At Anchor,2023-04-01 10:51:19,11,11,9401843,Marshall Islands,Marshall Islands
46090,AGIA VALENTINI,212398000,1.2833507660919539,103.95931896540232,Cyprus,Cargo,At Anchor,2023-04-01 10:52:14,36,35,9464895,Cyprus,Cyprus
46091,JBU SCHELDE,563164300,-5.880022214520549,106.0700076027397,Singapore,Tanker,Moored,2023-04-01 10:52:38,60,19,9374911,Singapore,Singapore
46092,YUAN YANG HU,413880000,1.2959523715492958,104.04533880239437,China,Tanker,At Anchor,2023-04-01 10:53:54,14,13,9398943,"China, People's Republic Of","China, People's Republic Of"
46093,EMERYN,525400301,-6.023336733706294,105.93824731685315,Indonesia,Tanker,Moored,2023-04-01 10:55:46,29,28,9291315,Indonesia,Indonesia
46094,LUMINOUS,564671000,1.2485421086666666,103.88356610866664,Singapore,Tanker,Moored,2023-04-01 10:59:00,4,3,9471446,Singapore,Singapore
46095,ADVANTAGE SPICE,538006197,1.2407967513617022,103.90559402817023,Marshall Islands,Tanker,At Anchor,2023-04-01 11:00:19,19,19,9419888,"Hong Kong, China","Hong Kong, China"
46096,SC QINGDAO,477115300,-7.11346023108911,112.65365082544552,Hong Kong,Tanker,Moored,2023-04-01 11:00:37,20,19,9428308,Singapore,Marshall Islands
46097,MERATUS AMPANA,525125033,-5.10707059009804,119.36193830284314,Indonesia,Cargo,At Anchor,2023-04-01 11:00:59,6,6,9262950,Indonesia,Indonesia
