date,Port,status_country_domicile,vessel_type,count
2023-10-08,GRE,Domestic,Tanker,1
2023-12-09,BPN,Domestic,Tanker,2
2023-07-27,GRE,Domestic,Sailing,1
2023-08-04,SUB,Domestic,Cargo,6
2023-02-17,DUM,Domestic,Tanker,1
2023-07-18,MLD,Domestic,Sailing,1
2023-01-10,BBM,Domestic,Tanker,1
2023-01-01,DUM,Foreign,Tanker,1
2023-12-12,BLW,Foreign,Cargo,2
2023-03-17,IMW,Foreign,Tanker,1
2023-02-01,MAK,Domestic,Cargo,3
2023-01-03,TAG,Foreign,Tanker,1
2023-04-10,IBP,Foreign,Tanker,2
2023-07-08,GRE,Domestic,Tanker,2
2023-04-12,BPN,Foreign,Cargo,1
2023-05-25,NDA,Domestic,Passenger,1
2023-01-14,GRE,Domestic,Cargo,4
2023-06-13,TPR,Domestic,Cargo,4
2023-07-04,SUB,Domestic,Passenger,1
2023-12-11,BPN,Domestic,Passenger,1
2023-06-25,BUR,Domestic,Tanker,1
2023-01-11,BDJ,Domestic,Cargo,2
2023-07-13,TGP,Domestic,Cargo,1
2023-12-03,TGP,Domestic,Cargo,1
2023-06-17,PKS,Domestic,Tanker,1
2023-06-01,LMR,Domestic,Passenger,2
2023-03-23,ISA,Domestic,Tanker,1
2023-05-05,GRE,Domestic,Cargo,5
2023-04-07,GRE,Domestic,Cargo,2
2023-10-24,BLW,Domestic,Other,1
2023-12-04,MAK,Domestic,Passenger,1
2023-12-08,CBN,Foreign,Tanker,1
2023-01-14,BUR,Foreign,Passenger,1
2023-07-21,BUR,Foreign,Passenger,1
2023-09-13,BPN,Domestic,Tanker,1
2023-05-02,WSR,Domestic,Passenger,1
2023-07-31,BAD,Domestic,Cargo,1
2023-03-10,PNJ,Domestic,Cargo,1
2023-08-10,PNJ,Domestic,Cargo,1
2023-05-20,WNQ,Domestic,Cargo,1
2023-09-24,TRE,Domestic,Cargo,2
2023-11-27,IBP,Domestic,Passenger,10
2023-04-04,DUM,Foreign,Tanker,4
2023-10-15,LMR,Domestic,Passenger,6
2023-12-11,MUO,Domestic,Cargo,1
2023-03-01,KUM,Domestic,Tanker,1
2023-02-28,TPR,Foreign,Cargo,1
2023-01-21,PNJ,Domestic,Cargo,3
2023-07-07,PNK,Domestic,Tanker,2
2023-12-13,BUR,Foreign,Passenger,1
2023-01-14,SRG,Domestic,Passenger,1
2023-05-29,PNK,Domestic,Cargo,2
2023-02-27,TPR,Foreign,Cargo,1
2023-01-27,BPN,Domestic,Tanker,2
2023-10-19,BDJ,Domestic,Cargo,3
2023-01-21,BUR,Domestic,Passenger,1
2023-01-11,PNK,Domestic,Tanker,2
2023-06-26,BLW,Domestic,Cargo,2
2023-12-22,DUM,Foreign,Cargo,1
2023-03-08,TGP,Domestic,Passenger,1
2023-10-05,LMR,Domestic,Passenger,4
2023-01-20,PNK,Domestic,Cargo,1
2023-03-14,TJB,Domestic,Cargo,2
2023-09-08,DUM,Domestic,Tanker,2
2023-02-06,BUR,Domestic,Cargo,3
2023-02-01,DJJ,Domestic,Cargo,1
2023-12-22,IBP,Domestic,Passenger,3
2023-04-05,TQP,Domestic,Passenger,1
2023-07-18,WSR,Domestic,Passenger,1
2023-12-24,MAK,Domestic,Pleasure Craft,1
2023-01-30,SUB,Domestic,Cargo,3
