,h3_index_int,mmsi,imo,length,width,vessel_type,vessel_type_main,obs_time,flag_country,source,destination,time_lower,time_upper,unix_trigger,avg_unix,unix_disarm,sd_lat,sd_lng,trigger_lat,trigger_lng,avg_lat,avg_lng,disarm_lat,disarm_lng,mode_nav_status,obs_nav_status,state_initial,state_final,obs_count,is_valid,geom_wkt,wkt_avg_pt,imo_ihs,ShipName,mmsi_ihs,RegisteredOwnerCountryOfRegistration,RegisteredOwnerCountryofDomicile,Tonnagesystem69convention,GrossTonnage,Deadweight,ShiptypeLevel5,shipSource,Hirarki_1,Prov_ID,Kode
18751,623986077531799551,525015376,8017671,105.0,16.0,Passenger,Ro Ro Cargo Ship,2023-08-11 20:25:28,Indonesia,S-AIS,KUMAI,3.4166666666666665,2.2333333333333334,1691785528,1691789641,1691793586,0.0007524656514952731,0.0004202592943771539,-7.195,112.73,-7.196419741875,112.729921770625,-7.19333333,112.72833333,Moored,32,2,2,32,valid,"LINESTRING (112.73 -7.195, 112.729921770625 -7.196419741875,112.72833333 -7.19333333)",POINT (112.729921770625 -7.196419741875),8017671,KIRANA,525015376.0,Indonesia,Indonesia,I,5299,3161,Passenger/Ro-Ro Ship (Vehicles),imo match,1,35,SUB
10208,623986077544546303,525900940,9895056,109.0,22.0,Passenger,,2023-08-11 20:31:14,Indonesia,S-AIS,SURABAYA,6.1,5.95,1691785874,1691796583,1691807293,0.0011785136590005624,0.0,-7.195,112.73333333,-7.194166665,112.73333333,-7.19333333,112.73333333,Underway Sailing,2,2,2,2,valid,"LINESTRING (112.73333333 -7.195, 112.73333333 -7.194166665,112.73333333 -7.19333333)",POINT (112.73333333 -7.194166665),9895056,DLN BATU LAYAR,,Indonesia,Indonesia,I,9187,2956,Passenger/Ro-Ro Ship (Vehicles),imo match,1,35,SUB
18239,624122777526468607,525101904,9910818,0.0,0.0,Passenger,,2023-08-11 20:33:45,Indonesia,S-AIS,GALALA <-> NAMLEA,15.533333333333333,0.0,1691786025,1691786025,1691786025,0.0,0.0,-3.27,127.085,-3.27,127.085,-3.27,127.085,Underway Sailing,1,2,2,1,invalid,POINT (127.085 -3.27),POINT (127.085 -3.27),9910818,GARDA MARITIM 5,525101904.0,Indonesia,Indonesia,I,821,926,Passenger/Ro-Ro Ship (Vehicles),imo match,2,81,NAM
5198,623960961469349887,525002061,6725523,94.0,16.0,Passenger,Passenger Ship,2023-08-11 20:56:17,Indonesia,S-AIS,MERAK-BAKAUHENI,1.3666666666666667,0.15,1691787377,1691787703,1691787964,0.001709425019480354,0.002207962466133163,-5.93,105.99666667,-5.9307745825,105.99477999999999,-5.929765,105.99245333,Underway Sailing,4,2,2,4,valid,"LINESTRING (105.99666667 -5.93, 105.99477999999999 -5.9307745825,105.99245333 -5.929765)",POINT (105.99477999999999 -5.9307745825),6725523,TITIAN MURNI,525002061.0,Indonesia,Indonesia,F,3614,1101,Passenger/Ro-Ro Ship (Vehicles/Rail),imo match,1,36,IBP
19546,623340125397352447,525101086,9813797,50.0,20.0,Passenger,,2023-08-11 20:58:17,Indonesia,S-AIS,DAWORA,41.75,41.55,1691787497,1691862304,1691937112,0.0011796874562569498,0.0001956352331445083,1.43833333,125.195,1.4374991650000002,125.19486166499999,1.436665,125.19472333,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (125.195 1.43833333, 125.19486166499999 1.4374991650000002,125.19472333 1.436665)",POINT (125.19486166499999 1.4374991650000002),9813797,SABUK NUSANTARA 105,525101086.0,Indonesia,Indonesia,I,1259,505,General Cargo/Passenger Ship,imo match,1,71,BIT
6839,623986077539532799,525100085,8808082,135.0,20.0,Passenger,,2023-08-11 21:22:24,Indonesia,T-AIS,SBY,3.35,2.6,1691788944,1691793624,1691798304,1.3997206962406595e-05,1.4617750779447559e-05,-7.19654333,112.731685,-7.1965351178571435,112.73168000071428,-7.19655333,112.73167833,Moored,14,2,2,14,valid,"LINESTRING (112.731685 -7.19654333, 112.73168000071428 -7.1965351178571435,112.73167833 -7.19655333)",POINT (112.73168000071428 -7.1965351178571435),8808082,MILA UTAMA,525015991.0,Indonesia,Indonesia,I,10833,4912,Vehicles Carrier,imo match,1,35,SUB
24669,623960961476493311,525001136,9759733,110.0,20.0,Passenger,General Cargo Ship,2023-08-11 21:24:55,Indonesia,S-AIS,BAKAUHENI,1.4,0.05,1691789095,1691789193,1691789291,0.00125157900269991,0.0007295008529490304,-5.935,105.99666667,-5.934115,105.996150835,-5.93323,105.995635,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (105.99666667 -5.935, 105.996150835 -5.934115,105.995635 -5.93323)",POINT (105.996150835 -5.934115),9759733,BATU MANDI,525001136.0,Indonesia,Indonesia,I,5553,2426,General Cargo/Passenger Ship,imo match,1,36,IBP
2471,623960961446543359,525100688,9821249,106.0,21.0,Passenger,,2023-08-11 21:28:24,Indonesia,T-AIS,MERAK - BAKAUHENI,31.8,0.0,1691789304,1691789304,1691789304,0.0,0.0,-5.95403833,105.988935,-5.95403833,105.988935,-5.95403833,105.988935,Under Way Using Engine,1,2,2,1,invalid,POINT (105.988935 -5.95403833),POINT (105.988935 -5.95403833),9821249,TRIMAS FHADILA,525100688.0,Indonesia,Indonesia,I,6527,2748,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
5816,623337134760263679,525002071,8013302,37.0,10.0,Passenger,Passenger Ship,2023-08-11 21:46:20,Indonesia,T-AIS,KARIANGAU-PANAJAM,0.8333333333333334,0.31666666666666665,1691790380,1691790980,1691791580,0.0020812486022698945,0.0010099818287693395,-1.23737667,116.77945333,-1.2388483350000001,116.77873916499999,-1.24032,116.778025,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (116.77945333 -1.23737667, 116.77873916499999 -1.2388483350000001,116.778025 -1.24032)",POINT (116.77873916499999 -1.2388483350000001),8013302,SELAT MADURA I,,Indonesia,Indonesia,F,209,50,Passenger Ship,imo match,1,64,BPN
20603,623986077531439103,525015376,8017671,105.0,16.0,Passenger,Ro Ro Cargo Ship,2023-08-11 22:51:43,Indonesia,S-AIS,KUMAI,1.0833333333333333,0.1,1691794303,1691794487,1691794655,0.000661066058221709,0.00035026108781531365,-7.19,112.725,-7.190381666666667,112.72520222333333,-7.19,112.725,Moored,3,2,2,3,valid,"LINESTRING (112.725 -7.19, 112.72520222333333 -7.190381666666667,112.725 -7.19)",POINT (112.72520222333333 -7.190381666666667),8017671,KIRANA,525015376.0,Indonesia,Indonesia,I,5299,3161,Passenger/Ro-Ro Ship (Vehicles),imo match,1,35,SUB
