date,Port,OperatorCountryofDomicileName,vessel_type,count
2023-08-12,TPR,Indonesia,Passenger,2
2023-09-01,PNJ,Indonesia,Cargo,4
2023-05-27,KUM,Indonesia,Cargo,1
2023-09-10,PNK,Indonesia,Cargo,3
2023-01-14,BIT,Indonesia,Tanker,2
2023-10-18,MAK,Indonesia,Cargo,5
2023-05-08,MAK,Indonesia,Passenger,2
2023-08-29,SUB,Indonesia,Passenger,3
2023-03-22,AMQ,Singapore,Passenger,1
2023-12-21,GRE,Greece,Cargo,1
2023-12-08,GRE,Indonesia,Cargo,12
2023-01-06,MKW,Indonesia,Passenger,2
2023-10-20,TPR,India,Tanker,1
2023-02-24,GRE,Indonesia,Passenger,8
2023-12-04,IBP,Singapore,Cargo,1
2023-10-10,BUR,Singapore,Cargo,3
2023-07-28,DUM,Denmark,Tanker,2
2023-08-04,DUM,"China, People's Republic Of",Tanker,1
2023-10-23,IBP,"China, People's Republic Of",Tanker,1
2023-07-03,FKQ,Indonesia,Passenger,1
2023-01-01,PNJ,Indonesia,Cargo,4
2023-09-22,DJJ,Indonesia,Tanker,1
2023-08-09,SUB,Indonesia,Tanker,2
2023-12-15,GRE,Indonesia,Tanker,3
2023-04-17,PNK,Indonesia,Tanker,3
2023-02-04,AMQ,Indonesia,Cargo,2
2023-07-14,BDJ,Indonesia,Tanker,2
2023-08-12,BUR,Norway,Passenger,2
2023-11-02,LTU,Indonesia,Tanker,1
2023-08-31,TBY,Indonesia,Cargo,3
2023-02-12,BDJ,Turkey,Cargo,1
2023-12-08,GRE,Liberia,Cargo,1
2023-01-24,TPR,Norway,Other,1
2023-01-03,BPN,Indonesia,Cargo,1
2023-06-12,GTO,Indonesia,Tanker,2
2023-07-06,DUM,Singapore,Tanker,2
2023-12-05,IBP,Singapore,Tanker,2
2023-11-11,AMQ,Indonesia,Passenger,3
2023-09-02,BUR,Indonesia,Tanker,6
2023-05-15,IMW,Indonesia,Other,3
2023-11-23,IMW,Indonesia,Other,1
2023-09-13,DUM,Singapore,Tanker,1
2023-08-14,BPN,Norway,Tanker,1
2023-11-18,TPR,Netherlands,Dredging,1
2023-01-12,MAK,Indonesia,Passenger,4
2023-10-12,MAK,Indonesia,Passenger,5
2023-03-11,BUR,Indonesia,Other,1
2023-11-16,IBP,Indonesia,Cargo,2
2023-11-29,TPR,Denmark,Cargo,1
2023-02-23,TQP,Indonesia,Passenger,1
2023-05-18,AMQ,Indonesia,Passenger,2
2023-05-13,TAG,Greece,Tanker,2
2023-03-31,GRE,Denmark,Cargo,1
2023-06-05,LUW,Indonesia,Passenger,1
2023-07-31,LUW,Indonesia,Passenger,1
2023-03-02,MLD,Indonesia,Cargo,4
2023-04-18,TPR,Indonesia,Other,1
2023-07-03,BPN,Indonesia,Other,3
2023-06-14,TQP,Indonesia,Tanker,1
2023-11-23,BOA,Indonesia,Tanker,1
2023-06-19,NAM,Indonesia,Passenger,1
2023-12-04,REO,"China, People's Republic Of",Cargo,1
2023-06-13,IBP,Turkey,Tanker,1
2023-12-21,SRG,Switzerland,Cargo,1
2023-10-27,GRE,Chinese Taipei,Cargo,1
2023-01-28,MLD,Indonesia,Cargo,1
